"Seq","Level","Item Type","Part No","Substitute Flag","Supply Type","Status","Component Qty","Extended Qty","UOM","From Date","To Date","Item Desc","Item Spec","SVC CODE","ECO No","Parent Part No","Remarks","Location Info.","Substitute Item","Item Spec"
69,1,"XX","0RH5601C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","5.6K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R78","",""
70,1,"XX","0RH7501C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","7.5K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R160,R169","",""
71,1,"XX","0RHAA-0094A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","51K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R46","",""
72,1,"XX","0RHAA-0091A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","47K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R23","",""
73,1,"XX","0RH5101C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","5.1K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R145,R151","",""
74,1,"PU","0IROL-0043A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","LED Drive IC","BD9465MUV-M ROHM 35.0V 4 TBD QFN R/TP 28 AUTOMOTIVE","","","6871L-5188A","","UC1","",""
75,1,"XX","0RH0000B622","N","Supplier","Active",24,24,"EA","2016-11-28 16:41:59","","chip Resistor","0 ohm 1/16W 1005 5% R/TP","","","6871L-5188A","","R10,R101,R102,R12,R135,R140,R146,R148,R150,R158,R21,R26,R4,R47,R48,R49,R50,R56,R59,R61,R62,R8,R95,R96","",""
76,1,"XX","0CH2473H562","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","MLCC","47nF K 25V X7R 0.9mm 1608 R/TP","","","6871L-5188A","","C107,C108","",""
77,1,"XX","0RH1001C422","N","Supplier","Active",5,5,"EA","2016-11-28 16:41:59","","chip Resistor","1K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R108,R75,R77,R97,R99","",""
78,1,"PU","6630L-0204A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Wire-Board Connector","IS100-L30B-C23 UJU 30PIN 1.0MM Angle Female R/TP 2.3MM Y Sn","","","6871L-5188A","","CN3","",""
79,1,"XX","0RHAA-0061A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","2K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R29","",""
80,1,"XX","0RH3001C422","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","chip Resistor","3K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R81,R83","",""
81,1,"PU","0ITIL-0095A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","PWM Controller","TPS62110 TI 3.1~17V BUCK CONVERTER QFN(4X4) R/TP 16","","","6871L-5188A","","U4","",""
82,1,"PU","0ISML-0020B","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Power Integration IC","SM4033A SILICON MITUS MNT BOOST BUCK OP-AMP GPM D/CPVCOM QFN R/TP 28","","","6871L-5188A","","U3","",""
83,1,"PU","6200L-J015A","N","Assembly Pull","Active",3,3,"EA","2016-11-28 16:41:59","","Bead Core Filter","BLM18PG300SN1D MURATA 30 ohm 1.6X0.8X0.8 MM R/TP","","","6871L-5188A","","FL2,FL3,FL4","",""
84,1,"XX","0RHAA-0032A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","100K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R51","",""
85,1,"XX","0RH1601C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","1.6K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R115","",""
86,1,"XX","0RHAA-0069A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","27K ohm 1/16W 1005 1% R/TP","","","6871L-5188A","","R28","",""
87,1,"XX","0LCAA-0024A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","Coil Inductor","NR6012T_100ME KTY 10UH M=20% 1A 0.235  Ohm 6X6X1.2 R/TP","","","6871L-5188A","","L4","",""
88,1,"PU","0IBCL-0001A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","LDO Voltage Regulator","AZ1117CH-3.3TRG1 BCD FIX (3.3V) 1A SOT-223 R/TP 4","","","6871L-5188A","","US1","",""
89,1,"XX","0RH1200C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","120 ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R166","",""
90,1,"XX","0RH2400C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","240 OHM 1/16W 1608 1% R/TP","","","6871L-5188A","","R6","",""
91,1,"XX","0LCAA-0053A","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","Coil Inductor","NRS8030T220M KTY 22UH M=20% 1.75A 0.07 (OHM) 8.0X8.0X3.0(MM) R/TP","","","6871L-5188A","","L1","",""
92,1,"XX","0CH2A-0013A","N","Supplier","Active",3,3,"EA","2016-11-28 16:41:59","","MLCC","10uF K 25V X5R 1.8mm 3216 R/TP","","","6871L-5188A","","C118,C121,C126","",""
93,1,"PU","0FS1501F032","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","Slow Blow Fuse","046801.5 NR LITTLEFUSE Nickel 63V 1.5A UL/CSA 3.2*1.6*1.2 R/TP","","","6871L-5188A","","F1","",""
94,1,"XX","0RH1003C422","N","Supplier","Active",1,1,"EA","2016-11-28 16:41:59","","chip Resistor","100K ohm 1/16W 1608 1% R/TP","","","6871L-5188A","","R119","",""
95,1,"PU","0DHZL-0034B","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Schottky Diode","RB060M-30GTR ROHM PMDU R/TP","","","6871L-5188A","","D3","",""
96,1,"PU","0DHZL-0016B","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Zener Diode","KDZ7.5V-RTK/H KEC USC R/TP","","","6871L-5188A","","ZD1","",""
97,1,"PU","6870S-2604A","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","Bare PCB","LB170E01-SL01-5W1 2L 0.8 345X39.4 4 N Source 72 Single Side","","","6871L-5188A","","","",""
98,1,"PU","0ISGL-0008E","N","Assembly Pull","Active",1,1,"EA","2016-11-28 16:41:59","","EEPROM","M24C04-FDW6TP ST 4K 5MS 1.7V SUPPLY VOLTAGE TSSOP R/TP 8","","","6871L-5188A","","U2","",""
99,1,"XX","0CH2A-0007A","N","Supplier","Active",2,2,"EA","2016-11-28 16:41:59","","MLCC","1uF K 10V X5R 0.9mm 1608 R/TP","","","6871L-5188A","","C88,C89","",""
100,1,"XX","0RHAA-0358A","N","Supplier","Active",4,4,"EA","2016-11-28 16:41:59","","Chip Resistor","0.82 OHM 1/16W 1005 1% R/TP","","","6871L-5188A","","R18,R40,R41,R42","",""
101,1,"XX","0RH3302C422","N","Assembly Pull","Active",1,1,"EA","2017-01-24 08:43:55","","chip Resistor","33K ohm 1/16W 1608 1% R/TP","","AG17005601","6871L-5188A","","R138","",""
